faq_id,title,content,key_num
1,전기차 충전기 연결 후 고전압(고전압) 배터리가 충전 안되면 어떻게 해야 하나요?,"차량의 충전 관리 설정을 확인하십시오. (예 : 예약 충전이 설정되어 있는 경우 완속 충전기 및 휴대용 충전기를 연결해도 즉시 충전이 되지 않습니다.)   · 완속 충전기, 휴대용 충전기, 급속 ...",1
2,전기차 회생제동(패들 쉬프트) 사용방법은 어떻게 되나요?,"회생제동 기능은 차량 감속 및 제동 시 전기 모터를 사용, 운동 에너지를 전기 에너지로 변환시켜 구동용(고전압) 배터리를 충전하는 기능입니다. 따라서, 패들 쉬프트 레버로 회생제동량(0~3...",1
3,친환경 전기차 충전카드는 어떻게 발급받나요?,"공공충전기에서 사용하실 수 있는 충전카드를 발급받으실 수 있습니다. 환경부 충전카드는 기본으로 발급받으시고, 기아 충전 파트너사 카드를 추가로 발급 받으실 수 있습니다.   환경부 충...",1
4,전기차의 고전압 배터리는 화재 및 폭발에 안전한가요?,"전기차 배터리팩은 복합적인 안전장치 구축을 통해 배터리 열화, 발화 및 폭발을 예방합니다.   리튬이온배터리를 사용하는 전기차는 복합적인 안전장치를 구축하고 있습니다. 현재 판매되고...",1
5,전기차에서 발생하는 전자파가 인체에 유해하지 않나요?,전기차에서 발생하는 전자파는 인체에 영향을 미치지 않는 경미한 수준입니다.   당사 연구소에서는 2018년 출시된 전기차를 대상으로 현재 유력한 평가 방법으로 고려되는 JASO 평가 법 및 국...,1
6,기아 전기차 구매시 보조금은 어떻게 되나요?,전기차 보조금은 전기차를 구매할 때 정부와 지자체에서 정한 전기자동차 보조금 지원대상 자동차를 신규로 구매해 국내에 등록할 경우 보조금을 지급하는 제도입니다. (구매보조금 지급 상...,1
7,전기차 충전기 연결 후 고전압(고전압) 배터리가 충전 안되면 어떻게 해야 하나요?,"차량의 충전 관리 설정을 확인하십시오. (예 : 예약 충전이 설정되어 있는 경우 완속 충전기 및 휴대용 충전기를 연결해도 즉시 충전이 되지 않습니다.)   · 완속 충전기, 휴대용 충전기, 급속 ...",1
8,전기차 회생제동(패들 쉬프트) 사용방법은 어떻게 되나요?,"회생제동 기능은 차량 감속 및 제동 시 전기 모터를 사용, 운동 에너지를 전기 에너지로 변환시켜 구동용(고전압) 배터리를 충전하는 기능입니다. 따라서, 패들 쉬프트 레버로 회생제동량(0~3...",1
9,최근 전기차 시장의 성장속도가 둔화되는 상황에서 기아 PBV의 대응 전략은 무엇인가요?,"최근 EV 성장속도의 둔화는 배터리 가격, 보조금 정책, 충전 이슈 등 복합적 요인이 작용하고 있습니다. 그러나 선진시장 중심으로 탄소배출, 도심진입 제한 등 ESG 관점의 친환경 규제가 지속 ...",1
10,친환경 전기차 충전카드는 어떻게 발급 받나요?,"공공충전기에서 사용하실 수 있는 충전카드를 발급 받으실 수 있습니다. 환경부 충전카드는 기본으로 발급 받으시고, 기아 충전 파트너사 카드를 추가로 발급 받으실 수 있습니다.   환경부 ...",1
11,하이브리드 차량 12V 배터리 방전 시 어떻게 해야 하나요?,하이브리드 차량 (K5 하이브리드 / K8 하이브리드 / 스포티지 하이브리드) 12V 배터리 방전 시 충전 방법은 아래와 같습니다. 핸들 좌측 하단에 보면 [12V BATT RESET] 버튼이 있습니다. 해당 버튼을 ...,2
12,"쏘렌토 하이브리드(4WD) 안전 하차 보조(SEA, 전자식 차일드 락 연동)은 어떤 기능인가요?",차량이 정차한 후에 탑승자가 차에서 내리려고 도어를 여는 순간 후측방의 차량을 인식하여 충돌 위험이 판단되면 경고문 표시와 경고음 등으로 운전자에게 알려주는 기능입니다.     추가적...,2
13,하이브리드 차종 스마트 모드 선택 후 시동을 껐다 켜면 모드가 변하나요?,하이브리드 차종의 2WD의 경우 · 「DRIVE MODE」 또는 「DRIVE / TERRAIN」 노브를 돌려 SMART 모드를 선택하면 계기판에 「SMART」 표시등이 켜집니다. · SMART 모드는 시동을 끄고 다시 걸어도 SMART 모드...,2
14,하이브리드 구동 원리는 무엇인가요?,"하이브리드 차량은 두 가지 이상의 동력원(가솔린엔진과 모터)를 설치하고, 주행상태에 따라 가솔린 엔진 또는 모터의 동력을 이용하여 운영되는 자동차입니다.",2
